"AGE";"EC_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"UNIT_MEASURE";"CONF_STATUS";"DECIMALS";"OBS_STATUS";"OBS_STATUS_FR";"UNIT_MULT";"TIME_PERIOD";"OBS_VALUE"
"_T";"BRTHRT";"A";"87";"DEP";"PM";"F";"1";"A";"D";"0";2005;10.5
"Y35T48";"FERIND";"A";"94";"DEP";"PT";"F";"0";"A";"D";"0";2014;60
"_T";"BRTHRT";"A";"37";"DEP";"PM";"F";"1";"A";"D";"0";2013;11
"Y35T48";"FERIND";"A";"94";"DEP";"PT";"F";"0";"A";"D";"0";2015;59
"_T";"FERIND";"A";"94";"REG";"PT";"F";"0";"A";"D";"0";2012;157
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";1999-01;12.2
"_T";"FERIND";"A";"94";"REG";"PT";"F";"0";"A";"D";"0";2013;150
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";2013;10.3
"Y35T48";"FERIND";"A";"94";"DEP";"PT";"F";"0";"A";"D";"0";2017;61
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";2013;11.7
"_T";"BRTHRT";"A";"87";"DEP";"PM";"F";"1";"A";"D";"0";2008;10.4
"_T";"BRTHRT";"A";"77";"DEP";"PM";"F";"1";"A";"D";"0";2013;14.1
"_T";"BRTHRT";"A";"47";"DEP";"PM";"F";"1";"A";"D";"0";2011;10.2
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";1999-03;12.6
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";2015-01;12
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";2014;11.9
"_T";"BRTHRT";"M";"FM";"FRANCE";"PM";"F";"1";"A";"D";"0";2006-01;12.4
"_T";"BRTHRT";"A";"77";"DEP";"PM";"F";"1";"A";"D";"0";2015;13.8
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";2014;10.9
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";2015-02;11.9
"_T";"BRTHRT";"A";"47";"DEP";"PM";"F";"1";"A";"D";"0";2013;10.1
"_T";"FERIND";"A";"11";"DEP";"PT";"F";"0";"A";"D";"0";1999;176
"Y35T48";"FERIND";"A";"94";"DEP";"PT";"F";"0";"A";"D";"0";2020;60
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";2016;10.3
"_T";"FERIND";"A";"11";"DEP";"PT";"F";"0";"A";"D";"0";2000;176
"_T";"FERIND";"A";"94";"REG";"PT";"F";"0";"A";"D";"0";2018;144
"_T";"FERIND";"A";"27";"REG";"PT";"F";"0";"A";"D";"0";2008;200
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";2017;10.9
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";2015-04;11.5
"_T";"BRTHRT";"M";"FM";"FRANCE";"PM";"F";"1";"A";"D";"0";2006-05;13.2
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";2017;10.1
"_T";"FERIND";"A";"40";"DEP";"PT";"F";"0";"A";"D";"0";1996;158
"_T";"BRTHRT";"A";"37";"DEP";"PM";"F";"1";"A";"D";"0";2020;9.8
"_T";"BRTHRT";"A";"87";"DEP";"PM";"F";"1";"A";"D";"0";2013;9.9
"_T";"BRTHRT";"A";"77";"DEP";"PM";"F";"1";"A";"D";"0";2019;13
"Y35T48";"FERIND";"A";"83";"DEP";"PT";"F";"0";"A";"D";"0";2002;31
